file,text
data/audio_001.wav,今日はしんけん寒いなあ
data/audio_002.wav,今日は寒いけん、外に出られんわ
data/audio_003.wav,明日は雨が降るっち思うわ
data/audio_004.wav,もうご飯食べよんの？
data/audio_005.wav,どこ行きよんの？
data/audio_006.wav,なんしちょん？
data/audio_007.wav,こんちはー。元気しちょった？
data/audio_008.wav,ほら行くで！
data/audio_009.wav,あんたも来よな
data/audio_010.wav,じゃあまたなあ
data/audio_011.wav,はよ寝らんといけんよ
data/audio_012.wav,これ安くならん？
data/audio_013.wav,その魚、どんくらいしよん？
data/audio_014.wav,あの店、もう閉まっちょんかえ？
data/audio_015.wav,そこ曲がったら早いで
data/audio_016.wav,バス来ちょんで
data/audio_017.wav,まだ駅に着かんの？
data/audio_018.wav,一緒行こうや
data/audio_019.wav,ほんと美味しかったわあ
data/audio_020.wav,そんなん知らんわ
data/audio_021.wav,びっくりしたわ
data/audio_022.wav,眠くてたまらんわ
